Name,Modified,Modified By,Item Type,Path,URL,LongPath
mysite-mp3-1.mp3,1/19/2025 19:34,The Person,Item,sites/mysite/3site/pathlong,https://mysite.sharepoint.com/sites/mysite/3site/pathlong/mysite-mp3-1.mp3,sites/mysite/3site/pathlong/mysite-mp3-1.mp3
mysite-wav-2.wav,1/22/2025 8:03,The Person,Item,sites/mysite/twosite/pathlong,https://mysite.sharepoint.com/sites/mysite/twosite/pathlong/mysite-wav-2.wav,sites/mysite/twosite/pathlong/mysite-wav-2.wav
mysite-flac-3.flac,1/24/2025 20:32,The Person,Item,sites/mysite/37ite,https://mysite.sharepoint.com/sites/mysite/37ite/mysite-flac-3.flac,sites/mysite/37ite/mysite-flac-3.flac
mysite-ogg-4.ogg,1/27/2025 9:01,The Person,Item,sites/mysite/3sit0e,https://mysite.sharepoint.com/sites/mysite/3sit0e/mysite-ogg-4.ogg,sites/mysite/3sit0e/mysite-ogg-4.ogg
mysite-aac-5.aac,1/29/2025 21:30,The Person,Item,sites/mysite/pathlong,https://mysite.sharepoint.com/sites/mysite/pathlong/mysite-aac-5.aac,sites/mysite/pathlong/mysite-aac-5.aac
mysite-m4a-6.m4a,2/1/2025 9:58,The Person,Item,sites/mysite/3site/pathl0ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl0ong/mysite-m4a-6.m4a,sites/mysite/3site/pathl0ong/mysite-m4a-6.m4a
mysite-wma-7.wma,2/3/2025 22:27,The Person,Item,sites/mysite/twosite/pathl0ong,https://mysite.sharepoint.com/sites/mysite/twosite/pathl0ong/mysite-wma-7.wma,sites/mysite/twosite/pathl0ong/mysite-wma-7.wma
mysite-opus-1.opus,2/6/2025 10:56,The Person,Item,sites/mysite/37ite/pathl0ong,https://mysite.sharepoint.com/sites/mysite/37ite/pathl0ong/mysite-opus-1.opus,sites/mysite/37ite/pathl0ong/mysite-opus-1.opus
mysite-aiff-2.aiff,2/8/2025 23:25,The Person,Item,sites/mysite/3sit0e/pathl0ong,https://mysite.sharepoint.com/sites/mysite/3sit0e/pathl0ong/mysite-aiff-2.aiff,sites/mysite/3sit0e/pathl0ong/mysite-aiff-2.aiff
mysite-alac-3.alac,2/11/2025 11:54,The Person,Item,sites/mysite/3site/pathl0ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl0ong/mysite-alac-3.alac,sites/mysite/3site/pathl0ong/mysite-alac-3.alac
mysite-cpp-4.cpp,2/14/2025 0:22,The Person,Item,sites/mysite/3site/pathl00ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl00ong/mysite-cpp-4.cpp,sites/mysite/3site/pathl00ong/mysite-cpp-4.cpp
mysite-bat-5.bat,2/16/2025 12:51,The Person,Item,sites/mysite/twosite/pathl00ong,https://mysite.sharepoint.com/sites/mysite/twosite/pathl00ong/mysite-bat-5.bat,sites/mysite/twosite/pathl00ong/mysite-bat-5.bat
mysite-py-6.py,2/19/2025 1:20,The Person,Item,sites/mysite/37ite/pathl00ong,https://mysite.sharepoint.com/sites/mysite/37ite/pathl00ong/mysite-py-6.py,sites/mysite/37ite/pathl00ong/mysite-py-6.py
mysite-ps1-7.ps1,2/21/2025 13:49,The Person,Item,sites/mysite/3sit0e/pathl00ong,https://mysite.sharepoint.com/sites/mysite/3sit0e/pathl00ong/mysite-ps1-7.ps1,sites/mysite/3sit0e/pathl00ong/mysite-ps1-7.ps1
mysite-vbs-1.vbs,2/24/2025 2:18,The Person,Item,sites/mysite/3site/pathl00ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl00ong/mysite-vbs-1.vbs,sites/mysite/3site/pathl00ong/mysite-vbs-1.vbs
mysite-h-2.h,2/26/2025 14:46,The Person,Item,sites/mysite/3site/pathlong,https://mysite.sharepoint.com/sites/mysite/3site/pathlong/mysite-h-2.h,sites/mysite/3site/pathlong/mysite-h-2.h
mysite-js-3.js,3/1/2025 3:15,The Person,Item,sites/mysite/twosite/pathlong,https://mysite.sharepoint.com/sites/mysite/twosite/pathlong/mysite-js-3.js,sites/mysite/twosite/pathlong/mysite-js-3.js
mysite-ts-4.ts,3/3/2025 15:44,The Person,Item,sites/mysite/37ite/pathlong,https://mysite.sharepoint.com/sites/mysite/37ite/pathlong/mysite-ts-4.ts,sites/mysite/37ite/pathlong/mysite-ts-4.ts
mysite-java-5.java,3/6/2025 4:13,The Person,Item,sites/mysite/3sit0e/pathlong,https://mysite.sharepoint.com/sites/mysite/3sit0e/pathlong/mysite-java-5.java,sites/mysite/3sit0e/pathlong/mysite-java-5.java
mysite-c-6.c,3/8/2025 16:42,The Person,Item,sites/mysite/3site/pathlong,https://mysite.sharepoint.com/sites/mysite/3site/pathlong/mysite-c-6.c,sites/mysite/3site/pathlong/mysite-c-6.c
mysite-cs-7.cs,3/11/2025 5:10,The Person,Item,sites/mysite/3site/pathl0ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl0ong/mysite-cs-7.cs,sites/mysite/3site/pathl0ong/mysite-cs-7.cs
mysite-go-1.go,3/13/2025 17:39,The Person,Item,sites/mysite/twosite/pathl0ong,https://mysite.sharepoint.com/sites/mysite/twosite/pathl0ong/mysite-go-1.go,sites/mysite/twosite/pathl0ong/mysite-go-1.go
mysite-cmd-2.cmd,3/16/2025 6:08,The Person,Item,sites/mysite/37ite/pathl0ong,https://mysite.sharepoint.com/sites/mysite/37ite/pathl0ong/mysite-cmd-2.cmd,sites/mysite/37ite/pathl0ong/mysite-cmd-2.cmd
mysite-vcf-3.vcf,3/18/2025 18:37,The Person,Item,sites/mysite/3sit0e/pathl0ong,https://mysite.sharepoint.com/sites/mysite/3sit0e/pathl0ong/mysite-vcf-3.vcf,sites/mysite/3sit0e/pathl0ong/mysite-vcf-3.vcf
mysite-contact-4.contact,3/21/2025 7:06,The Person,Item,sites/mysite/3site/pathl0ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl0ong/mysite-contact-4.contact,sites/mysite/3site/pathl0ong/mysite-contact-4.contact
mysite-agent-5.agent,3/23/2025 19:34,The Person,Item,sites/mysite/3site/pathl00ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl00ong/mysite-agent-5.agent,sites/mysite/3site/pathl00ong/mysite-agent-5.agent
mysite-csv-6.csv,3/26/2025 8:03,The Person,Item,sites/mysite/twosite/pathl00ong,https://mysite.sharepoint.com/sites/mysite/twosite/pathl00ong/mysite-csv-6.csv,sites/mysite/twosite/pathl00ong/mysite-csv-6.csv
mysite-tsv-7.tsv,3/28/2025 20:32,The Person,Item,sites/mysite/37ite/pathl00ong,https://mysite.sharepoint.com/sites/mysite/37ite/pathl00ong/mysite-tsv-7.tsv,sites/mysite/37ite/pathl00ong/mysite-tsv-7.tsv
mysite-doc-1.doc,3/31/2025 9:01,The Person,Item,sites/mysite/3sit0e/pathl00ong,https://mysite.sharepoint.com/sites/mysite/3sit0e/pathl00ong/mysite-doc-1.doc,sites/mysite/3sit0e/pathl00ong/mysite-doc-1.doc
mysite-docx-2.docx,4/2/2025 21:30,The Person,Item,sites/mysite/3site/pathl00ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl00ong/mysite-docx-2.docx,sites/mysite/3site/pathl00ong/mysite-docx-2.docx
mysite-docm-3.docm,4/5/2025 9:58,The Person,Item,sites/mysite/3site/pathlong,https://mysite.sharepoint.com/sites/mysite/3site/pathlong/mysite-docm-3.docm,sites/mysite/3site/pathlong/mysite-docm-3.docm
mysite-dotx-4.dotx,4/7/2025 22:27,The Person,Item,sites/mysite/twosite/pathlong,https://mysite.sharepoint.com/sites/mysite/twosite/pathlong/mysite-dotx-4.dotx,sites/mysite/twosite/pathlong/mysite-dotx-4.dotx
mysite-dot-5.dot,4/10/2025 10:56,The Person,Item,sites/mysite/37ite/pathlong,https://mysite.sharepoint.com/sites/mysite/37ite/pathlong/mysite-dot-5.dot,sites/mysite/37ite/pathlong/mysite-dot-5.dot
mysite-odt-6.odt,4/12/2025 23:25,The Person,Item,sites/mysite/3sit0e/pathlong,https://mysite.sharepoint.com/sites/mysite/3sit0e/pathlong/mysite-odt-6.odt,sites/mysite/3sit0e/pathlong/mysite-odt-6.odt
mysite-exe-7.exe,4/15/2025 11:54,The Person,Item,sites/mysite/3site/pathlong,https://mysite.sharepoint.com/sites/mysite/3site/pathlong/mysite-exe-7.exe,sites/mysite/3site/pathlong/mysite-exe-7.exe
mysite-msi-1.msi,4/18/2025 0:22,The Person,Item,sites/mysite/3site/pathl0ong,https://mysite.sharepoint.com/sites/mysite/3site/pathl0ong/mysite-msi-1.msi,sites/mysite/3site/pathl0ong/mysite-msi-1.msi
mysite-com-2.com,4/20/2025 12:51,The Person,Item,sites/mysite/twosite/pathl0ong,https://mysite.sharepoint.com/sites/mysite/twosite/pathl0ong/mysite-com-2.com,sites/mysite/twosite/pathl0ong/mysite-com-2.com
