folder,filename,filetypes1,filetypes2,filetypes3,filetypes4,filetypes5,filetypes6,filetypes7,filetypes8,filetypes9,filetypes10,filetypes11,filetypes12,filetypes13
svg,audio.svg,mp3,wav,flac,ogg,aac,m4a,wma,opus,aiff,alac,,,
svg,code.svg,cpp,bat,py,ps1,vbs,h,js,ts,java,c,cs,go,cmd
svg,contact.svg,vcf,contact,,,,,,,,,,,
svg,copilot.svg,agent,,,,,,,,,,,,
svg,csv.svg,csv,tsv,,,,,,,,,,,
svg,docx.svg,doc,docx,docm,dotx,dot,odt,,,,,,,,
svg,exe.svg,exe,msi,com,scr,,,,,,,,,
svg,folder.svg,,,,,,,,,,,,,
svg,genericfile.svg,,,,,,,,,,,,,
svg,html.svg,htm,mht,html,mhtml,xhtml,shtml,,,,,,,,
svg,link.svg,lnk,url,webloc,,,,,,,,,,
svg,loop.svg,loop,,,,,,,,,,,,
svg,officescript.svg,odst,,,,,,,,,,,,
svg,onetoc.svg,onenote,one,onepkg,,,,,,,,,,
svg,pdf.svg,pdf,,,,,,,,,,,,
svg,photo.svg,jpg,jpeg,svg,bmp,gif,png,dng,tiff,heic,webp,ico,psd
svg,powerbi.svg,pbix,pbit,,,,,,,,,,,
svg,pptx.svg,pptx,pptm,potx,pot,ppt,pps,ppsx,odp,,,,,
svg,rtf.svg,rtf,,,,,,,,,,,,
svg,spo.svg,aspx,,,,,,,,,,,,
svg,sysfile.svg,dll,sys,ocx,drv,,,,,,,,,
svg,txt.svg,txt,md,log,ini,cfg,conf,json,yaml,yml,toml,,,
svg,video.svg,mp4,avi,mpeg4,mov,mkv,webm,flv,wmv,m4v,mpg,mpeg,3gp
svg,xlsx.svg,xlsx,xlsm,xls,xltx,xltm,xla,xlam,xlsb,ods,,,,
svg,xml.svg,xml,xsl,xslt,xsd,dtd,,,,,,,,
svg,zip.svg,zip,7z,rar,tar,gz,bz2,xz,iso,dmg,,,,
