icon,ext
audio.svg,mp3
audio.svg,wav
audio.svg,flac
audio.svg,ogg
audio.svg,aac
audio.svg,m4a
audio.svg,wma
audio.svg,opus
audio.svg,aiff
audio.svg,alac
code.svg,cpp
code.svg,bat
code.svg,py
code.svg,ps1
code.svg,vbs
code.svg,h
code.svg,js
code.svg,ts
code.svg,java
code.svg,c
code.svg,cs
code.svg,go
code.svg,cmd
contact.svg,vcf
contact.svg,contact
copilot.svg,agent
csv.svg,csv
csv.svg,tsv
docx.svg,doc
docx.svg,docx
docx.svg,docm
docx.svg,dotx
docx.svg,dot
docx.svg,odt
exe.svg,exe
exe.svg,msi
exe.svg,com
exe.svg,scr
html.svg,htm
html.svg,mht
html.svg,html
html.svg,mhtml
html.svg,xhtml
html.svg,shtml
link.svg,lnk
link.svg,url
link.svg,webloc
loop.svg,loop
officescript.svg,odst
onetoc.svg,onenote
onetoc.svg,one
onetoc.svg,onepkg
pdf.svg,pdf
photo.svg,jpg
photo.svg,jpeg
photo.svg,svg
photo.svg,bmp
photo.svg,gif
photo.svg,png
photo.svg,dng
photo.svg,tiff
photo.svg,heic
photo.svg,webp
photo.svg,ico
photo.svg,psd
powerbi.svg,pbix
powerbi.svg,pbit
pptx.svg,pptx
pptx.svg,pptm
pptx.svg,potx
pptx.svg,pot
pptx.svg,ppt
pptx.svg,pps
pptx.svg,ppsx
pptx.svg,odp
rtf.svg,rtf
spo.svg,aspx
sysfile.svg,dll
sysfile.svg,sys
sysfile.svg,ocx
sysfile.svg,drv
txt.svg,txt
txt.svg,md
txt.svg,log
txt.svg,ini
txt.svg,cfg
txt.svg,conf
txt.svg,json
txt.svg,yaml
txt.svg,yml
txt.svg,toml
video.svg,mp4
video.svg,avi
video.svg,mpeg4
video.svg,mov
video.svg,mkv
video.svg,webm
video.svg,flv
video.svg,wmv
video.svg,m4v
video.svg,mpg
video.svg,mpeg
video.svg,3gp
xlsx.svg,xlsx
xlsx.svg,xlsm
xlsx.svg,xls
xlsx.svg,xltx
xlsx.svg,xltm
xlsx.svg,xla
xlsx.svg,xlam
xlsx.svg,xlsb
xlsx.svg,ods
xml.svg,xml
xml.svg,xsl
xml.svg,xslt
xml.svg,xsd
xml.svg,dtd
zip.svg,zip
zip.svg,7z
zip.svg,rar
zip.svg,tar
zip.svg,gz
zip.svg,bz2
zip.svg,xz
zip.svg,iso
zip.svg,dmg
